Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
110001 ALTA FLORESTA D'OESTE;5,01;503;10043
110002 ARIQUEMES;4,64;2038;43947
110003 CABIXI;2,49;69;2766
110004 CACOAL;5,87;2264;38570
110005 CEREJEIRAS;5,24;439;8383
110006 COLORADO DO OESTE;6,32;541;8557
110007 CORUMBIARA;3,45;134;3887
110008 COSTA MARQUES;4,64;271;5846
110009 ESPIGAO D'OESTE;4,51;641;14219
110010 GUAJARA-MIRIM;6,84;1100;16093
110011 JARU;5,16;1227;23773
110012 JI-PARANA;5,61;3282;58517
110013 MACHADINHO D'OESTE;3,64;518;14215
110014 NOVA BRASILANDIA D'OESTE;3,54;332;9391
110015 OURO PRETO DO OESTE;7,35;1363;18539
110018 PIMENTA BUENO;5,24;924;17627
110020 PORTO VELHO;5,63;11766;208962
110025 PRESIDENTE MEDICI;5,24;580;11072
110026 RIO CRESPO;6,81;90;1321
110028 ROLIM DE MOURA;6,5;1584;24382
110029 SANTA LUZIA D'OESTE;8,29;354;4269
110030 VILHENA;6,9;2752;39866
110032 SAO MIGUEL DO GUAPORE;3,6;347;9627
110033 NOVA MAMORE;3,74;361;9665
110034 ALVORADA D'OESTE;4,98;358;7186
110037 ALTO ALEGRE DOS PARECIS;5,63;320;5684
110040 ALTO PARAISO;2,49;209;8401
110045 BURITIS;5,11;805;15768
110050 NOVO HORIZONTE DO OESTE;4,04;184;4549
110060 CACAULANDIA;3,65;104;2852
110070 CAMPO NOVO DE RONDONIA;2,67;143;5346
110080 CANDEIAS DO JAMARI;4,41;371;8419
110090 CASTANHEIRAS;3,19;53;1660
110092 CHUPINGUAIA;3,07;123;4013
110094 CUJUBIM;5,94;418;7038
110100 GOVERNADOR JORGE TEIXEIRA;2,17;93;4293
110110 ITAPUA DO OESTE;5,02;197;3927
110120 MINISTRO ANDREAZZA;2,14;95;4429
110130 MIRANTE DA SERRA;6,33;349;5515
110140 MONTE NEGRO;2,83;180;6350
110143 NOVA UNIAO;3,67;137;3736
110145 PARECIS;1,9;37;1944
110146 PIMENTEIRAS DO OESTE;6,63;68;1025
110147 PRIMAVERA DE RONDONIA;6,81;95;1395
110148 SAO FELIPE D'OESTE;4,81;130;2702
110149 SAO FRANCISCO DO GUAPORE;4,87;374;7681
110150 SERINGUEIRAS;4,26;234;5489
110155 TEIXEIROPOLIS;3,4;81;2379
110160 THEOBROMA;5,05;250;4946
110170 URUPA;4,89;289;5905
110175 VALE DO ANARI;3,99;170;4259
110180 VALE DO PARAISO;3,16;96;3036
120001 ACRELANDIA;9,04;434;4803
120005 ASSIS BRASIL;7,68;160;2082
120010 BRASILEIA;5,9;473;8020
120013 BUJARI;3,41;111;3257
120017 CAPIXABA;4,2;156;3717
120020 CRUZEIRO DO SUL;7,62;2209;28982
120025 EPITACIOLANDIA;6,88;430;6251
120030 FEIJO;5,8;574;9893
120032 JORDAO;5,82;95;1631
120033 MANCIO LIMA;5,28;256;4851
120034 MANOEL URBANO;2,6;73;2810
120035 MARECHAL THAUMATURGO;5,12;234;4566
120038 PLACIDO DE CASTRO;8,02;451;5624
