Município;1991;2000;2010;Total
350010 ADAMANTINA;1,88;12,43;5,92;6,93
350020 ADOLFO;-;10,87;6,42;6,37
350030 AGUAI;3,84;10,51;6,59;7,29
350040 AGUAS DA PRATA;1,16;10,56;6,49;6,4
350050 AGUAS DE LINDOIA;2,6;6,98;3,59;4,65
350055 AGUAS DE SANTA BARBARA;2,28;8,84;2,87;4,72
350060 AGUAS DE SAO PEDRO;0,66;13,21;7,08;7,52
350070 AGUDOS;3,14;19,75;7,36;10,3
350075 ALAMBARI;...;11,47;8,59;9,76
350080 ALFREDO MARCONDES;2,8;18,01;7,3;9,37
350090 ALTAIR;1,94;13,36;5,23;7,06
350100 ALTINOPOLIS;1,05;7,57;4,47;4,61
350110 ALTO ALEGRE;2,13;8,03;5,1;5,09
350115 ALUMINIO;...;23,07;11,11;16,47
350120 ALVARES FLORENCE;1,59;6,59;5,02;4,42
350130 ALVARES MACHADO;1,95;11,44;6,62;7,01
350140 ALVARO DE CARVALHO;2,1;5,09;7,19;4,96
350150 ALVINLANDIA;-;8,39;6,32;5,18
350160 AMERICANA;3,21;13,26;5,2;7,32
350170 AMERICO BRASILIENSE;1,51;17,32;10,85;10,99
350180 AMERICO DE CAMPOS;0,97;7,27;3,49;3,95
350190 AMPARO;3,16;9,32;5,16;6,07
350200 ANALANDIA;0,54;9,42;7,65;6,45
350210 ANDRADINA;2,99;16,46;6,5;8,87
350220 ANGATUBA;0,77;10,77;4,85;5,42
350230 ANHEMBI;2,05;11,98;4,06;6,46
350240 ANHUMAS;1,83;9,54;3,51;4,92
350250 APARECIDA;5,71;14,74;5,13;8,53
350260 APARECIDA D'OESTE;1,32;4,89;3,23;3,23
350270 APIAI;1,49;20,1;7,62;9,19
350275 ARACARIGUAMA;...;17,06;7,52;11,02
350280 ARACATUBA;2,25;14,7;5,85;7,9
350290 ARACOIABA DA SERRA;2,45;11,68;6,93;7,51
350300 ARAMINA;0,23;10,21;5,4;5,61
350310 ARANDU;1,56;9,54;2,48;4,67
350315 ARAPEI;...;8,93;6,45;7,71
350320 ARARAQUARA;4,14;16,38;6,97;9,29
350330 ARARAS;1,77;13,58;7,29;8,01
350335 ARCO-IRIS;...;5,37;6,54;5,99
350340 AREALVA;0,41;10,02;3,77;4,8
350350 AREIAS;5,2;11,87;6,81;7,97
350360 AREIOPOLIS;3,19;13,27;6,98;8
350370 ARIRANHA;1,48;9,21;5,73;5,95
350380 ARTUR NOGUEIRA;2,13;12,76;6,94;7,58
350390 ARUJA;9,6;22,56;9,29;13,97
350395 ASPASIA;...;5;6,02;5,51
350400 ASSIS;2,63;13,71;6,52;7,82
350410 ATIBAIA;2,69;9,84;5;6,15
350420 AURIFLAMA;1,24;10,09;4,09;5,36
350430 AVAI;1,18;8,98;7,24;6,04
350440 AVANHANDAVA;2,12;17,2;8,39;9,51
350450 AVARE;3,4;15,28;4,5;7,97
350460 BADY BASSITT;1,62;11,67;3,87;6,24
350470 BALBINOS;1,08;18,56;10,37;10,34
350480 BALSAMO;1,17;12;1,89;5,12
350490 BANANAL;1,93;11,66;6,42;6,83
350500 BARAO DE ANTONINA;2,14;9,72;2,92;4,82
350510 BARBOSA;2,34;7,2;7,21;5,91
350520 BARIRI;1,51;8,57;3,5;4,71
350530 BARRA BONITA;1,01;12,46;5,52;6,72
350535 BARRA DO CHAPEU;...;14,35;5,44;9,55
350540 BARRA DO TURVO;1,99;16,19;3,61;7,35
350550 BARRETOS;2,22;13,16;5,84;7,34
350560 BARRINHA;2,31;16,42;7,24;9,16
350570 BARUERI;6,58;20,63;9,01;12,71
350580 BASTOS;3,29;15,1;6,57;8,6
350590 BATATAIS;1,82;9,87;5,37;5,98
350600 BAURU;2,73;14,95;5,87;8,26
350610 BEBEDOURO;2,31;15,52;7,3;8,82
350620 BENTO DE ABREU;-;8,03;13,98;8
350630 BERNARDINO DE CAMPOS;1,82;8,93;5,05;5,47
350635 BERTIOGA;...;15,47;6,99;10,16
350640 BILAC;0,41;7,93;3,56;4,21
350650 BIRIGUI;1,21;6,89;3,52;4,14
350660 BIRITIBA-MIRIM;5,11;15,87;7,6;9,95
350670 BOA ESPERANCA DO SUL;1,32;11,94;6,02;6,57
350680 BOCAINA;2,25;5,74;3,47;3,95
350690 BOFETE;2,49;9,04;4,9;5,59
350700 BOITUVA;4,41;11,68;8,13;8,57
350710 BOM JESUS DOS PERDOES;1,86;12,15;4,8;6,57
350715 BOM SUCESSO DE ITARARE;...;26,71;11,05;17,76
350720 BORA;-;5,03;2,32;2,57
350730 BORACEIA;0,27;7,9;5,34;4,78
350740 BORBOREMA;0,6;8,84;4,2;4,74
350745 BOREBI;...;10,67;7,9;9,11
350750 BOTUCATU;3,27;14,32;6,89;8,51
350760 BRAGANCA PAULISTA;3;13,81;5,88;7,76
350770 BRAUNA;3,7;4,38;3,89;4
350775 BREJO ALEGRE;...;11,31;5,81;8,14
350780 BRODOWSKI;0,99;6,82;1,84;3,28
350790 BROTAS;2,94;11,39;5,9;7,17
350800 BURI;3,24;14,84;4,52;7,94
350810 BURITAMA;1,34;11,98;6,86;7,06
350820 BURITIZAL;2,54;5,38;4,5;4,28
350830 CABRALIA PAULISTA;2,72;9,14;3,21;5,22
350840 CABREUVA;2,83;13,37;7,89;8,89
350850 CACAPAVA;4,59;20,76;8,41;11,71
350860 CACHOEIRA PAULISTA;6,71;15,92;8,93;10,75
350870 CACONDE;0,47;5,51;6;4,29
350880 CAFELANDIA;4,85;8,97;6,42;6,82
350890 CAIABU;0,47;8,74;7,42;5,8
350900 CAIEIRAS;6,34;21,05;9,28;12,94
350910 CAIUA;3,33;7,41;6,04;5,86
350920 CAJAMAR;7,14;22,66;8,54;13,25
350925 CAJATI;...;21,59;10,52;15,61
350930 CAJOBI;0,49;15,6;5;6,52
350940 CAJURU;1,3;11,6;4,3;5,84
350945 CAMPINA DO MONTE ALEGRE;...;14,64;9,32;11,99
350950 CAMPINAS;4,29;15,44;6,26;8,84
350960 CAMPO LIMPO PAULISTA;3,49;20,81;9,19;12,08
350970 CAMPOS DO JORDAO;2,37;9,78;3,84;5,52
350980 CAMPOS NOVOS PAULISTA;0,44;6,84;5,01;4,4
350990 CANANEIA;4,48;14,65;5,12;8,55
350995 CANAS;...;13,27;11,88;12,47
351000 CANDIDO MOTA;4,75;13,97;6,58;8,69
351010 CANDIDO RODRIGUES;1,95;6,73;2,11;3,63
351015 CANITAR;...;5,15;7,05;6,23
351020 CAPAO BONITO;2,84;19,61;7,89;9,96
351030 CAPELA DO ALTO;1,75;13,19;6,37;7,42
351040 CAPIVARI;1,81;10,15;5,4;6,07
351050 CARAGUATATUBA;2,69;17,97;7,14;10,12
